Date,AG,CDE,FNV,HL,MUX,TAHO
2016-01-04,3.42,2.47,46.85,1.89,1.1,8.84
2016-01-05,3.36,2.38,45.81,1.87,1.16,8.73
2016-01-06,3.37,2.38,47.72,1.89,1.19,9.1
2016-01-07,3.3,2.43,49.31,1.97,1.18,9.27
2016-01-08,3.18,2.32,48.83,1.9,1.1,9.05
2016-01-11,2.93,2.23,47.76,1.81,1.11,8.71
2016-01-12,2.8,2.02,46.67,1.69,1.06,8.41
2016-01-13,2.81,2.0,46.87,1.75,1.07,8.3
2016-01-14,2.75,1.88,46.17,1.66,1.05,7.92
2016-01-15,2.73,1.9,45.11,1.62,1.06,7.38
2016-01-19,2.51,1.73,42.46,1.52,1.01,6.86
2016-01-20,2.62,1.81,42.47,1.56,1.01,6.83
2016-01-21,2.62,1.76,42.62,1.56,1.07,6.84
2016-01-22,2.69,1.75,42.46,1.58,1.09,7.06
2016-01-25,2.69,1.77,42.55,1.67,1.1,6.98
2016-01-26,2.87,1.83,43.53,1.77,1.17,7.38
2016-01-27,2.92,2.04,43.61,1.8,1.17,7.48
2016-01-28,2.84,2.02,42.79,1.74,1.18,7.27
2016-01-29,2.99,2.21,44.11,1.86,1.23,7.75
2016-02-01,3.1,2.19,44.99,1.92,1.33,7.96
2016-02-02,3.0,2.11,44.19,1.86,1.37,7.74
2016-02-03,3.21,2.25,47.3,1.98,1.35,8.14
2016-02-04,3.38,2.4,48.76,2.06,1.43,8.6
2016-02-05,3.59,2.55,50.06,2.19,1.42,8.4
2016-02-08,3.82,2.61,53.17,2.24,1.54,7.84
2016-02-09,3.65,2.47,51.53,2.09,1.51,7.92
2016-02-10,3.68,2.5,50.35,2.1,1.48,7.58
2016-02-11,4.04,2.82,53.64,2.26,1.61,8.28
2016-02-12,4.33,3.33,54.4,2.32,1.59,8.56
2016-02-16,4.14,3.2,52.37,2.16,1.54,8.0
2016-02-17,4.26,3.36,52.99,2.27,1.61,8.51
2016-02-18,4.56,3.75,57.23,2.42,1.73,8.92
2016-02-19,4.39,3.56,57.42,2.36,1.69,9.04
2016-02-22,4.35,3.55,57.7,2.34,1.65,9.04
2016-02-23,4.36,3.47,59.24,2.4,1.68,9.27
2016-02-24,4.4,3.48,59.23,2.49,1.72,9.33
2016-02-25,4.64,3.51,60.23,2.53,1.86,9.33
2016-02-26,4.62,3.55,59.26,2.48,1.82,8.89
2016-02-29,4.64,3.86,59.59,2.59,1.83,9.24
2016-03-01,4.33,3.81,57.4,2.52,1.73,8.84
2016-03-02,4.45,4.0,57.77,2.58,1.83,9.17
2016-03-03,4.75,4.49,57.71,2.7,1.94,9.47
2016-03-04,4.88,4.52,57.26,2.66,1.91,9.49
2016-03-07,5.36,5.02,57.67,2.87,2.02,9.81
2016-03-08,5.29,4.65,57.02,2.59,1.94,9.24
2016-03-09,5.32,4.73,57.91,2.62,1.9,9.54
2016-03-10,5.74,4.89,60.56,2.68,2.0,10.24
2016-03-11,5.74,5.03,61.38,2.69,1.92,10.08
