,Date,RB01_p,RB01_v,RB01_po
0,2009-03-27,3631.0,516.0,244.0
1,2009-03-30,3630.0,30.0,244.0
2,2009-03-31,3645.0,92.0,222.0
3,2009-04-01,3662.0,0.0,222.0
4,2009-04-02,3635.0,96.0,240.0
5,2009-04-03,3597.0,62.0,252.0
6,2009-04-07,3649.0,152.0,276.0
7,2009-04-08,3585.0,54.0,296.0
8,2009-04-09,3588.0,24.0,308.0
9,2009-04-10,3620.0,120.0,372.0
10,2009-04-13,3619.0,132.0,426.0
11,2009-04-14,3686.0,114.0,450.0
12,2009-04-15,3710.0,26.0,442.0
13,2009-04-16,3741.0,12.0,446.0
14,2009-04-17,3859.0,298.0,550.0
15,2009-04-20,3810.0,24.0,562.0
16,2009-04-21,3720.0,38.0,572.0
17,2009-04-22,3734.0,22.0,584.0
18,2009-04-23,3718.0,16.0,588.0
19,2009-04-24,3707.0,24.0,582.0
20,2009-04-27,3652.0,48.0,576.0
21,2009-04-28,3653.0,12.0,576.0
22,2009-04-29,3647.0,44.0,554.0
23,2009-04-30,3681.0,34.0,548.0
24,2009-05-04,3777.0,42.0,562.0
25,2009-05-05,3732.0,20.0,558.0
26,2009-05-06,3749.0,8.0,558.0
27,2009-05-07,3750.0,18.0,562.0
28,2009-05-08,3749.0,6.0,562.0
29,2009-05-11,3740.0,60.0,568.0
30,2009-05-12,3734.0,48.0,570.0
31,2009-05-13,3748.0,76.0,570.0
32,2009-05-14,3740.0,20.0,570.0
33,2009-05-15,3734.0,18.0,582.0
34,2009-05-18,3738.0,44.0,572.0
35,2009-05-19,3756.0,18.0,568.0
36,2009-05-20,3744.0,66.0,572.0
37,2009-05-21,3724.0,66.0,636.0
38,2009-05-22,3725.0,76.0,672.0
39,2009-05-25,3729.0,4.0,672.0
40,2009-05-26,3729.0,0.0,672.0
41,2009-05-27,3731.0,4.0,668.0
42,2009-06-01,3760.0,44.0,664.0
43,2009-06-02,3779.0,60.0,664.0
44,2009-06-03,3780.0,6.0,664.0
45,2009-06-04,3791.0,114.0,668.0
46,2009-06-05,3840.0,144.0,664.0
47,2009-06-08,3870.0,30.0,678.0
48,2009-06-09,3880.0,186.0,690.0
49,2009-06-10,3920.0,210.0,622.0
50,2009-06-11,3985.0,174.0,660.0
51,2009-06-12,3990.0,272.0,652.0
52,2009-06-15,3968.0,94.0,678.0
53,2009-06-16,3988.0,272.0,662.0
54,2009-06-17,3953.0,60.0,650.0
55,2009-06-18,3966.0,0.0,650.0
56,2009-06-19,3999.0,76.0,692.0
57,2009-06-22,3985.0,234.0,752.0
58,2009-06-23,3982.0,96.0,736.0
59,2009-06-24,3926.0,98.0,772.0
60,2009-06-25,3948.0,18.0,768.0
61,2009-06-26,3942.0,122.0,786.0
62,2009-06-29,3930.0,122.0,804.0
63,2009-06-30,3895.0,126.0,814.0
64,2009-07-01,3906.0,86.0,814.0
65,2009-07-02,3930.0,460.0,1096.0
66,2009-07-03,3904.0,76.0,1082.0
67,2009-07-06,3911.0,64.0,1090.0
68,2009-07-07,3909.0,684.0,1348.0
69,2009-07-08,3893.0,342.0,1314.0
70,2009-07-09,3886.0,384.0,1466.0
71,2009-07-10,3907.0,368.0,1446.0
72,2009-07-13,3908.0,232.0,1346.0
73,2009-07-14,3938.0,162.0,1402.0
74,2009-07-15,4005.0,258.0,1470.0
75,2009-07-16,4029.0,372.0,1546.0
76,2009-07-17,4027.0,166.0,1538.0
77,2009-07-20,4046.0,184.0,1592.0
78,2009-07-21,4064.0,806.0,1772.0
79,2009-07-22,4102.0,382.0,1776.0
80,2009-07-23,4130.0,646.0,1860.0
81,2009-07-24,4176.0,448.0,2004.0
82,2009-07-27,4247.0,938.0,2138.0
83,2009-07-28,4330.0,1142.0,2220.0
84,2009-07-29,4414.0,2024.0,2272.0
85,2009-07-30,4416.0,786.0,2348.0
86,2009-07-31,4601.0,1326.0,2702.0
87,2009-08-03,4843.0,3320.0,3552.0
88,2009-08-04,4832.0,2254.0,3736.0
89,2009-08-05,4863.0,3018.0,4118.0
90,2009-08-06,4841.0,2292.0,3802.0
91,2009-08-07,4638.0,2976.0,3188.0
92,2009-08-10,4635.0,3378.0,3406.0
93,2009-08-11,4673.0,1440.0,3310.0
94,2009-08-12,4599.0,1764.0,3112.0
95,2009-08-13,4645.0,1780.0,3388.0
96,2009-08-14,4532.0,2758.0,3876.0
97,2009-08-17,4450.0,4178.0,3622.0
98,2009-08-18,4414.0,4412.0,5116.0
99,2009-08-19,4217.0,6672.0,6006.0
100,2009-08-20,4269.0,11494.0,8606.0
101,2009-08-21,4313.0,8862.0,8754.0
102,2009-08-24,4328.0,7700.0,10378.0
103,2009-08-25,4255.0,7270.0,11426.0
104,2009-08-26,4283.0,5450.0,11778.0
105,2009-08-27,4291.0,8088.0,10908.0
106,2009-08-28,4297.0,8316.0,11938.0
107,2009-08-31,4141.0,12430.0,13910.0
108,2009-09-01,4095.0,17900.0,16922.0
109,2009-09-02,4051.0,17316.0,20294.0
110,2009-09-03,4059.0,18074.0,23420.0
111,2009-09-04,4051.0,14322.0,26354.0
112,2009-09-07,3945.0,26552.0,34102.0
113,2009-09-08,3961.0,43174.0,45472.0
114,2009-09-09,4055.0,42976.0,49448.0
115,2009-09-10,4041.0,45680.0,57532.0
116,2009-09-11,4018.0,38444.0,62942.0
117,2009-09-14,4009.0,30700.0,64890.0
118,2009-09-15,4025.0,56228.0,72494.0
119,2009-09-16,4085.0,79968.0,81358.0
