Date,DR3M
2009-06-03,1.15
2009-06-04,1.15
2009-06-05,1.15
2009-06-09,1.15
2009-06-10,1.08
2009-06-11,1.12
2009-06-12,1.15
2009-06-15,1.15
2009-06-16,1.14
2009-06-18,1.15
2009-06-19,1.15
2009-06-22,1.3
2009-06-23,1.3
2009-06-24,1.3
2009-07-03,1.4
2009-07-07,1.6
2009-07-16,1.5
2009-07-22,1.56
2009-07-23,1.65
2009-07-24,1.65
2009-07-27,1.78
2009-07-28,1.73
2009-07-29,1.78
2009-07-30,1.67
2009-08-04,1.7
2009-08-05,1.75
2009-08-10,2.0
2009-08-11,1.75
2009-08-12,1.673
2009-08-18,1.68
2009-08-19,1.5
2009-08-20,1.7
2009-08-21,1.7
2009-08-25,1.7
2009-09-01,1.65
2009-09-04,1.7
2009-09-09,1.8
2009-09-10,1.8
2009-09-14,1.8
2009-09-17,1.75
2009-09-21,2.05
2009-09-22,1.78
2009-09-23,1.75
2009-09-28,1.75
2009-10-12,1.7946
2009-10-15,1.77
2009-10-16,1.77
2009-10-19,1.77
2009-10-21,1.8
2009-10-22,1.8
2009-10-23,1.85
2009-10-26,1.8
2009-10-28,1.8
2009-10-30,1.8
2009-11-02,1.8
2009-11-09,1.8
2009-11-11,2.0
2009-11-17,2.1
2009-11-25,1.9
2009-11-27,1.87
2009-11-30,4.0
2009-12-02,1.85
2009-12-08,1.85
2009-12-09,1.78
2009-12-10,1.85
2009-12-16,1.86
2009-12-18,1.85
2009-12-21,1.85
2009-12-23,1.84
2009-12-24,1.85
2009-12-25,1.7
2010-01-06,2.0
2010-01-07,1.74
2010-01-08,1.75
2010-01-11,1.8
2010-01-12,1.78
2010-01-13,1.82
2010-01-14,1.82
2010-01-15,1.8
2010-01-18,1.8
2010-01-20,1.85
2010-01-21,1.8
2010-01-22,1.92
2010-01-25,1.92
2010-01-26,1.83
2010-01-27,2.0
2010-02-05,1.9
2010-02-09,1.98
2010-02-23,1.98
2010-02-24,1.85
2010-02-25,1.95
2010-02-26,1.9
2010-03-02,2.4
2010-03-04,1.94
2010-03-05,1.92
2010-03-08,1.9
2010-03-09,1.9
2010-03-10,1.92
2010-03-11,2.0
2010-03-12,1.9
2010-03-16,1.93
2010-03-17,1.93
2010-03-22,2.34
2010-03-23,2.4
2010-03-26,1.9
2010-04-01,1.9
2010-04-06,1.87
2010-04-12,1.87
2010-04-14,1.87
2010-04-15,1.75
2010-04-20,1.85
2010-04-22,1.51
2010-04-23,1.9
2010-04-27,1.9
2010-04-28,1.8
2010-04-30,1.9
2010-05-04,1.92
2010-05-11,1.85
2010-05-12,1.9
2010-05-13,1.97
2010-05-14,1.95
2010-05-18,1.94
2010-05-19,1.97
2010-05-20,1.99
2010-05-25,2.2
2010-05-28,2.5
2010-06-12,3.4
2010-06-21,2.76
2010-06-23,3.75
2010-06-24,3.8
2010-06-28,3.75
2010-06-29,3.85
2010-07-07,3.4
2010-07-08,2.8
2010-07-09,2.6
2010-07-13,2.5
2010-07-14,2.5
2010-07-15,2.42
2010-07-16,2.38
2010-07-19,2.35
2010-07-20,2.55
2010-07-21,2.39
2010-07-22,2.38
2010-07-23,2.3775
2010-07-26,2.4
2010-07-27,2.43
2010-07-28,2.47
2010-07-29,2.47
2010-07-30,2.48
2010-08-02,2.45
2010-08-03,2.45
2010-08-04,2.44
2010-08-05,2.3
2010-08-06,2.4
2010-08-09,2.44
2010-08-10,2.45
2010-08-11,2.45
2010-08-13,2.45
2010-08-16,2.45
2010-08-18,2.42
2010-08-19,2.46
2010-08-20,2.48
2010-08-23,2.48
2010-08-24,2.45
2010-08-25,2.48
2010-08-27,2.7
2010-09-06,2.55
2010-09-07,2.55
