,Date,RB05_p,RB05_v,RB05_po
0,2009-05-18,3846.0,0.0,0.0
1,2009-05-19,3910.0,18.0,10.0
2,2009-05-20,3904.0,32.0,42.0
3,2009-05-21,3901.0,38.0,52.0
4,2009-05-22,3910.0,18.0,66.0
5,2009-05-25,3904.0,30.0,86.0
6,2009-05-26,3900.0,50.0,92.0
7,2009-05-27,3902.0,20.0,84.0
8,2009-06-01,3989.0,38.0,98.0
9,2009-06-02,3926.0,32.0,112.0
10,2009-06-03,3946.0,26.0,126.0
11,2009-06-04,3966.0,12.0,120.0
12,2009-06-05,4010.0,56.0,138.0
13,2009-06-08,4026.0,50.0,160.0
14,2009-06-09,4039.0,38.0,186.0
15,2009-06-10,4050.0,12.0,198.0
16,2009-06-11,4130.0,14.0,200.0
17,2009-06-12,4136.0,36.0,222.0
18,2009-06-15,3954.0,24.0,222.0
19,2009-06-16,4103.0,56.0,220.0
20,2009-06-17,4090.0,12.0,224.0
21,2009-06-18,4120.0,2.0,224.0
22,2009-06-19,4100.0,2.0,226.0
23,2009-06-22,4113.0,4.0,224.0
24,2009-06-23,4078.0,20.0,226.0
25,2009-06-24,4100.0,32.0,228.0
26,2009-06-25,4080.0,38.0,256.0
27,2009-06-26,4060.0,16.0,258.0
28,2009-06-29,4030.0,6.0,256.0
29,2009-06-30,4000.0,12.0,262.0
30,2009-07-01,4026.0,4.0,264.0
31,2009-07-02,4035.0,66.0,314.0
32,2009-07-03,4035.0,22.0,320.0
33,2009-07-06,4010.0,38.0,344.0
34,2009-07-07,3996.0,8.0,348.0
35,2009-07-08,3956.0,74.0,334.0
36,2009-07-09,3950.0,22.0,336.0
37,2009-07-10,3975.0,30.0,336.0
38,2009-07-13,3998.0,4.0,336.0
39,2009-07-14,3990.0,18.0,338.0
40,2009-07-15,4043.0,14.0,342.0
41,2009-07-16,4104.0,92.0,384.0
42,2009-07-17,4085.0,134.0,460.0
43,2009-07-20,4118.0,38.0,450.0
44,2009-07-21,4136.0,24.0,444.0
45,2009-07-22,4191.0,30.0,456.0
46,2009-07-23,4227.0,54.0,468.0
47,2009-07-24,4250.0,54.0,476.0
48,2009-07-27,4328.0,382.0,654.0
49,2009-07-28,4378.0,122.0,700.0
50,2009-07-29,4405.0,180.0,720.0
51,2009-07-30,4425.0,310.0,696.0
52,2009-07-31,4606.0,280.0,668.0
53,2009-08-03,4763.0,126.0,658.0
54,2009-08-04,4800.0,354.0,570.0
55,2009-08-05,4826.0,118.0,588.0
56,2009-08-06,4818.0,56.0,578.0
57,2009-08-07,4635.0,454.0,704.0
58,2009-08-10,4660.0,294.0,806.0
59,2009-08-11,4675.0,296.0,842.0
60,2009-08-12,4639.0,180.0,828.0
61,2009-08-13,4688.0,284.0,814.0
62,2009-08-14,4590.0,410.0,892.0
63,2009-08-17,4496.0,478.0,900.0
64,2009-08-18,4481.0,178.0,922.0
65,2009-08-19,4308.0,350.0,932.0
66,2009-08-20,4333.0,676.0,990.0
67,2009-08-21,4377.0,920.0,1080.0
68,2009-08-24,4392.0,478.0,1160.0
69,2009-08-25,4321.0,302.0,1162.0
70,2009-08-26,4364.0,318.0,1200.0
71,2009-08-27,4368.0,270.0,1202.0
72,2009-08-28,4392.0,264.0,1208.0
73,2009-08-31,4270.0,216.0,1256.0
74,2009-09-01,4245.0,218.0,1324.0
75,2009-09-02,4160.0,394.0,1356.0
76,2009-09-03,4175.0,474.0,1570.0
77,2009-09-04,4166.0,180.0,1590.0
78,2009-09-07,4080.0,218.0,1606.0
79,2009-09-08,4100.0,300.0,1624.0
80,2009-09-09,4173.0,550.0,1646.0
81,2009-09-10,4175.0,286.0,1686.0
82,2009-09-11,4153.0,152.0,1714.0
