Date,RB01_p,RB01_v,RB01_oi,RB05_p,RB05_v,RB05_oi,RB10_p,RB10_v,RB10_oi,RB00_p,RB00_v,RB00_oi
2010-01-04,3965.0,3062.0,19500.0,4579.0,1809996.0,965458.0,4735.0,23948.0,91592.0,4579.0,1809996.0,965458.0
2010-01-05,3975.0,1620.0,18300.0,4589.0,1320756.0,987708.0,4743.0,10308.0,92468.0,4589.0,1320756.0,987708.0
2010-01-06,4006.0,3840.0,15840.0,4622.0,1481228.0,1027884.0,4803.0,51106.0,107322.0,4622.0,1481228.0,1027884.0
2010-01-07,3975.0,3000.0,13320.0,4489.0,2196160.0,932514.0,4730.0,132568.0,121972.0,4489.0,2196160.0,932514.0
2010-01-08,3975.0,2700.0,11580.0,4462.0,1520076.0,894544.0,4743.0,166598.0,139346.0,4462.0,1520076.0,894544.0
2010-01-11,4020.0,300.0,11400.0,4516.0,1130570.0,939144.0,4834.0,163666.0,166010.0,4516.0,1130570.0,939144.0
2010-01-12,4019.0,600.0,11220.0,4510.0,1176288.0,957810.0,4802.0,159214.0,180040.0,4510.0,1176288.0,957810.0
2010-01-13,3987.0,3240.0,9660.0,4418.0,1461688.0,906786.0,4725.0,129270.0,160054.0,4418.0,1461688.0,906786.0
2010-01-14,3981.0,1200.0,9060.0,4433.0,1076498.0,938680.0,4742.0,83028.0,160326.0,4433.0,1076498.0,938680.0
2010-01-15,3975.0,1140.0,8400.0,4368.0,1276950.0,939862.0,4678.0,123094.0,159522.0,4368.0,1276950.0,939862.0
2010-01-18,4792.0,486.0,414.0,4395.0,1148302.0,943604.0,4704.0,104532.0,155006.0,4395.0,1148302.0,943604.0
2010-01-19,4794.0,948.0,1006.0,4382.0,1236092.0,888684.0,4712.0,95250.0,154878.0,4382.0,1236092.0,888684.0
2010-01-20,4794.0,160.0,1112.0,4364.0,1243448.0,847790.0,4692.0,97802.0,151016.0,4364.0,1243448.0,847790.0
2010-01-21,4798.0,346.0,1310.0,4352.0,960118.0,862226.0,4698.0,79182.0,155304.0,4352.0,960118.0,862226.0
2010-01-22,4729.0,1098.0,1412.0,4288.0,1207020.0,856708.0,4600.0,145552.0,145956.0,4288.0,1207020.0,856708.0
