Date,ABX,NEM,GG,AEM,GOLD,AU,KGC,BVN,AUY,GFI,EGO,AGI,IAG,SBGL,OR,HMY
2016-01-04,7.75,18.44,11.86,26.94,62.48,7.46,1.89,4.42,1.92,2.9,3.08,3.44,1.55,6.16,10.1,1.06
2016-01-05,7.65,18.42,11.59,27.62,62.58,7.36,1.85,4.44,1.93,2.86,3.0,3.49,1.59,6.37,10.17,1.15
2016-01-06,7.94,18.56,11.81,28.45,63.08,7.72,1.87,4.34,2.0,3.0,3.08,3.61,1.64,6.62,10.33,1.33
2016-01-07,8.75,18.86,12.72,29.99,65.74,7.88,2.0,4.31,2.1,3.12,3.28,3.66,1.67,6.86,10.34,1.44
2016-01-08,8.42,18.01,12.49,29.56,63.78,7.9,1.87,4.23,2.0,3.1,3.25,3.48,1.68,6.56,10.28,1.29
2016-01-11,8.15,17.01,11.81,28.59,62.68,7.91,1.72,4.11,1.87,3.16,3.07,3.17,1.53,6.75,10.12,1.29
2016-01-12,7.9,17.01,11.44,28.53,60.99,7.83,1.66,4.14,1.79,3.17,2.48,3.08,1.53,7.04,10.23,1.35
2016-01-13,8.04,17.48,11.16,28.98,61.72,7.86,1.68,4.26,1.83,3.11,2.52,3.08,1.51,7.12,10.01,1.53
2016-01-14,7.58,17.27,10.43,27.87,61.03,7.42,1.6,4.08,1.68,3.0,2.41,2.75,1.37,7.29,9.83,1.49
2016-01-15,7.9,17.7,10.32,28.01,62.12,7.33,1.48,3.76,1.55,3.14,2.28,2.57,1.35,7.78,9.6,1.61
2016-01-19,7.59,16.31,9.84,26.78,60.88,7.44,1.38,3.38,1.41,2.93,2.13,2.41,1.15,7.45,9.11,1.51
2016-01-20,8.11,16.56,9.86,26.87,63.33,7.93,1.49,3.51,1.47,3.13,2.12,2.34,1.27,7.83,9.08,1.68
2016-01-21,8.33,16.69,9.82,27.24,65.12,8.05,1.52,3.58,1.45,3.07,2.16,2.4,1.23,8.35,9.15,1.73
2016-01-22,8.58,16.68,10.14,27.28,65.67,7.85,1.56,3.65,1.51,2.9,2.28,2.44,1.32,8.2,9.16,1.65
2016-01-25,9.27,17.67,10.27,27.9,65.61,8.23,1.54,3.74,1.5,3.23,2.1,2.64,1.29,8.76,9.52,1.82
2016-01-26,9.53,18.5,10.73,28.75,68.97,8.76,1.64,4.17,1.61,3.48,2.23,2.91,1.42,9.13,9.85,1.95
2016-01-27,9.84,19.44,11.1,28.95,69.12,8.85,1.67,4.14,1.66,3.53,2.3,3.13,1.5,9.02,10.04,1.99
2016-01-28,9.66,19.53,11.08,28.97,69.49,8.24,1.59,3.9,1.61,3.26,2.22,3.16,1.42,8.91,9.86,1.92
2016-01-29,9.91,19.96,11.34,29.44,70.72,8.48,1.64,4.0,1.7,3.4,2.24,3.24,1.45,8.86,10.0,1.79
2016-02-01,10.07,20.55,11.54,30.07,72.57,8.67,1.73,4.2,1.83,3.58,2.32,3.36,1.51,8.88,10.4,1.87
2016-02-02,9.86,20.07,11.28,29.76,72.53,8.64,1.65,4.14,1.8,3.51,2.28,3.18,1.46,9.17,10.21,1.95
2016-02-03,10.73,22.34,12.42,31.4,75.2,9.47,1.82,4.51,2.02,3.81,2.47,3.39,1.6,9.73,10.43,2.05
2016-02-04,11.18,23.38,13.06,32.73,76.8,9.66,2.03,4.7,2.2,3.89,2.7,3.61,1.74,10.61,11.01,2.24
2016-02-05,11.64,24.41,13.73,33.51,78.3,10.73,2.3,4.86,2.29,4.17,2.86,3.93,1.87,11.37,11.28,2.34
2016-02-08,11.91,25.19,14.72,33.91,85.12,10.9,2.44,4.77,2.54,4.15,2.76,4.11,2.0,11.28,11.4,2.43
2016-02-09,11.22,24.3,14.16,33.11,84.05,10.41,2.43,4.45,2.36,3.98,2.62,3.82,1.91,10.68,10.12,2.37
2016-02-10,11.58,24.31,14.57,33.3,84.66,10.77,2.57,4.78,2.44,4.05,2.67,3.81,2.06,10.79,9.78,2.38
2016-02-11,11.97,25.04,15.0,35.33,87.86,11.41,2.9,5.31,2.64,4.5,3.03,4.26,2.27,12.42,10.29,2.75
