Date,Close
1995-05-17,16400
1995-05-18,16400
1995-05-19,16400
1995-05-22,16400
1995-05-23,16600
1995-05-24,16600
1995-05-25,16600
1995-05-26,16600
1995-05-29,16600
1995-05-30,16600
1995-05-31,16600
1995-06-01,16600
1995-06-02,16600
1995-06-05,16600
1995-06-06,16600
1995-06-07,16600
1995-06-08,16600
1995-06-09,16600
1995-06-12,16600
1995-06-13,16600
1995-06-14,16600
1995-06-15,16600
1995-06-16,15850
1995-06-19,15850
1995-06-20,16040
1995-06-21,15240
1995-06-22,14660
1995-06-23,14660
1995-06-26,14660
1995-06-27,14660
1995-06-28,14660
1995-06-29,14660
1995-06-30,14660
1995-07-03,14660
1995-07-04,14660
1995-07-05,14660
1995-07-06,14660
1995-07-07,14660
1995-07-10,14660
1995-07-11,14660
1995-07-12,14660
1995-07-13,14660
1995-07-14,14660
1995-07-17,14150
1995-07-18,14850
1995-07-19,14200
1995-07-20,14800
1995-07-21,14800
1995-07-24,14800
1995-07-25,14800
1995-07-26,14800
1995-07-27,14800
1995-07-28,15350
1995-07-31,15350
1995-08-01,15350
1995-08-02,15350
1995-08-03,14690
1995-08-04,14650
1995-08-07,14630
1995-08-08,14630
1995-08-09,14630
1995-08-10,14630
1995-08-11,14630
1995-08-14,14630
1995-08-15,14630
1995-08-16,13900
1995-08-17,13900
1995-08-18,13900
1995-08-21,13900
1995-08-22,13900
1995-08-23,13900
1995-08-24,13900
1995-08-25,13900
1995-08-28,13900
1995-08-29,13900
1995-08-30,13900
1995-08-31,13900
1995-09-01,13900
1995-09-04,13900
1995-09-05,13900
1995-09-06,13900
1995-09-07,13900
1995-09-08,13900
1995-09-11,13900
1995-09-12,13900
1995-09-13,13900
1995-09-14,13900
1995-09-15,13900
1996-05-24,14610
1996-05-27,14700
1996-05-28,14700
1996-05-29,14680
1996-05-30,14680
1996-05-31,14680
1996-06-03,14670
1996-06-04,14700
1996-06-05,14700
1996-06-06,14700
1996-06-07,14700
1996-06-10,14700
1996-06-11,14600
1996-06-12,14600
1996-06-13,14600
1996-06-14,14600
1996-06-17,14600
1996-06-18,14700
1996-06-19,14700
1996-06-20,14700
1996-06-21,14300
1996-06-24,14300
1996-06-25,14300
1996-06-26,14350
1996-06-27,14350
1996-06-28,14350
1996-07-01,14350
1996-07-02,14350
1996-07-03,14350
1996-07-04,14350
1996-07-05,14350
1996-07-08,14350
1996-07-09,14350
1996-07-10,14350
1996-07-11,14350
1996-07-12,14350
1996-07-15,14350
1996-07-16,14350
1996-07-17,14480
1996-07-18,14480
1996-07-19,14480
1996-07-22,14480
1996-07-23,14480
1996-07-24,14480
1996-07-25,14480
1996-07-26,14480
1996-07-29,14480
1996-07-30,14480
1996-07-31,14480
1996-08-01,14480
1996-08-02,14480
1996-08-05,14480
1996-08-06,14480
1996-08-07,14480
1996-08-08,14480
1996-08-09,14480
1996-08-12,14480
1996-08-13,14480
1996-08-14,14480
1996-08-15,14480
1996-08-16,14480
1996-08-19,14480
1996-08-20,14480
1996-08-21,14480
1996-08-22,14480
1996-08-23,14480
1996-08-26,14480
1996-08-27,14480
1996-08-28,14480
1996-08-29,14480
1996-08-30,14480
1996-09-02,14480
1996-09-03,14480
1996-09-04,14480
1996-09-05,14480
1996-09-06,14480
1996-09-09,14480
1996-09-10,14480
1996-09-11,14480
1996-09-12,14480
1996-09-13,14480
1996-09-16,14480
1997-04-14,11440
1997-04-15,11450
1997-04-16,11560
1997-04-17,11530
1997-04-18,11470
1997-04-21,11240
1997-04-22,11400
1997-04-23,11260
1997-04-24,11230
1997-04-25,11000
1997-04-28,10830
1997-04-29,10820
1997-04-30,10730
1997-05-05,10600
1997-05-06,10600
1997-05-07,10330
1997-05-08,10300
1997-05-09,10300
1997-05-12,10560
1997-05-13,10280
1997-05-14,10280
1997-05-15,10280
1997-05-16,10280
1997-05-19,10280
1997-05-20,10250
1997-05-21,10140
1997-05-22,10220
1997-05-23,10220
1997-05-26,10320
1997-05-27,10260
1997-05-28,10200
1997-05-29,10250
1997-05-30,10160
1997-06-02,10190
1997-06-03,10220
1997-06-04,10300
1997-06-05,10230
1997-06-06,10190
1997-06-09,10250
1997-06-10,10330
1997-06-11,10230
1997-06-12,10250
1997-06-13,10210
1997-06-16,10180
1997-06-17,10190
1997-06-18,10210
1997-06-19,10140
1997-06-20,10250
1997-06-23,10240
1997-06-24,10260
1997-06-25,10190
1997-06-26,10160
1997-06-27,10140
1997-07-02,10340
1997-07-03,10240
1997-07-04,10100
1997-07-07,9610
1997-07-08,10170
1997-07-09,10070
1997-07-10,9910
1997-07-11,10000
1997-07-14,9900
1997-07-15,9870
1997-07-16,9960
1997-07-17,9740
1997-07-18,9870
1997-07-21,9960
1997-07-22,10000
1997-07-23,10030
1997-07-24,9990
1997-07-25,9990
1997-07-28,9840
1997-07-29,9760
1997-07-30,9570
1997-07-31,9300
1997-08-01,9400
1997-08-04,9430
1997-08-05,9330
1997-08-06,9210
1997-08-07,8860
1997-08-08,8950
1997-08-11,8900
1997-08-12,8890
1997-08-13,8900
1997-08-14,8750
1997-08-15,8780
1997-08-18,8510
1997-08-19,8560
1997-08-20,8400
1997-08-21,8390
1997-08-22,8720
1997-08-25,8850
1997-08-26,9210
1997-08-27,9000
1997-08-28,8810
1997-08-29,8470
1997-09-01,8280
1997-09-02,7900
1997-09-03,7900
1997-09-04,7900
1997-09-05,7910
1997-09-08,8200
1997-09-09,8630
1997-09-10,9060
1997-09-11,9060
1997-09-12,8610
1997-09-15,8180
1998-05-13,7150
1998-05-14,7170
1998-05-15,7160
1998-05-18,7210
1998-05-19,7250
1998-05-20,7230
1998-05-21,7240
1998-05-22,7240
1998-05-25,7250
1998-05-26,7290
1998-05-27,7300
1998-05-28,7350
1998-05-29,7340
1998-06-01,7330
1998-06-02,7390
1998-06-03,7340
1998-06-04,7340
1998-06-05,7340
1998-06-08,7350
1998-06-09,7360
1998-06-10,7360
1998-06-11,7390
1998-06-12,7390
1998-06-15,7380
1998-06-16,7370
1998-06-17,7350
1998-06-18,7350
1998-06-19,7370
1998-06-22,7360
1998-06-23,7360
1998-06-24,7360
1998-06-25,7310
1998-06-26,7300
1998-06-29,7280
1998-06-30,7260
1998-07-01,7270
1998-07-02,7270
1998-07-03,7280
1998-07-06,7260
1998-07-07,7210
1998-07-08,7200
1998-07-09,7210
1998-07-10,7210
1998-07-13,7190
1998-07-14,7090
1998-07-15,7070
1998-07-16,7050
1998-07-17,7060
1998-07-20,7050
1998-07-21,7050
1998-07-22,7050
1998-07-23,7150
1998-07-24,7100
1998-07-27,7130
1998-07-28,7090
1998-07-29,7120
1998-07-30,7100
1998-07-31,7070
1998-08-03,7070
1998-08-04,7090
1998-08-05,7150
1998-08-06,7160
1998-08-07,7200
1998-08-10,7200
1998-08-11,7190
1998-08-12,7160
1998-08-13,7200
1998-08-14,7190
1998-08-17,7190
1998-08-18,7210
1998-08-19,7200
1998-08-20,7200
1998-08-21,7180
1998-08-24,7180
1998-08-25,7180
1998-08-26,7220
1998-08-27,7270
1998-08-28,7320
1998-08-31,7340
1998-09-01,7330
1998-09-02,7330
1998-09-03,7310
1998-09-04,7400
1998-09-07,7520
1998-09-08,7570
1998-09-09,7640
1998-09-10,7680
1998-09-11,7850
1998-09-14,7980
1998-09-15,8040
1999-05-04,8000
1999-05-05,8020
1999-05-06,8200
1999-05-07,8220
1999-05-10,8430
1999-05-11,8760
1999-05-12,9060
1999-05-13,8960
1999-05-14,8600
1999-05-17,8310
1999-05-18,8150
1999-05-19,8310
1999-05-20,8330
1999-05-21,8345
1999-05-24,8250
1999-05-25,8260
1999-05-26,8350
1999-05-27,8570
1999-05-28,8590
1999-05-31,8420
1999-06-01,8635
1999-06-02,8560
1999-06-03,8435
1999-06-04,8520
1999-06-07,8600
1999-06-08,8590
1999-06-09,8700
1999-06-10,8820
1999-06-11,8760
1999-06-14,9010
1999-06-15,8690
1999-06-16,8730
1999-06-17,8680
1999-06-18,8510
1999-06-21,8635
1999-06-22,8450
1999-06-23,8360
1999-06-24,8420
1999-06-25,8500
1999-06-28,8320
1999-06-29,8345
1999-06-30,8300
1999-07-01,8370
1999-07-02,8415
1999-07-05,8350
1999-07-06,8145
1999-07-07,7945
1999-07-08,7950
1999-07-09,7990
1999-07-12,7830
1999-07-13,8045
1999-07-14,7860
1999-07-15,7935
1999-07-16,7955
1999-07-19,8035
1999-07-20,8020
1999-07-21,7885
1999-07-22,7880
1999-07-23,7900
1999-07-26,7950
1999-07-27,7950
1999-07-28,8020
1999-07-29,8000
1999-07-30,8015
1999-08-02,8200
1999-08-03,8215
1999-08-04,8260
1999-08-05,8215
1999-08-06,8245
1999-08-09,8325
1999-08-10,8280
1999-08-11,8295
1999-08-12,8390
1999-08-13,8395
1999-08-16,8370
1999-08-17,8400
1999-08-18,8590
1999-08-19,8535
1999-08-20,8570
1999-08-23,8745
1999-08-24,8830
1999-08-25,8870
1999-08-26,8890
1999-08-27,8870
1999-08-30,8850
1999-08-31,8850
1999-09-01,8870
1999-09-02,8890
1999-09-03,9090
1999-09-06,9030
1999-09-07,9090
1999-09-08,8960
1999-09-09,8915
1999-09-10,8925
1999-09-13,8900
1999-09-14,8880
1999-09-15,8750
1999-11-25,9000
1999-11-26,9000
1999-11-29,9000
1999-11-30,9000
1999-12-01,9000
1999-12-02,9000
1999-12-03,9000
1999-12-06,9000
1999-12-07,9000
1999-12-08,9000
1999-12-09,9000
1999-12-10,9000
1999-12-13,9000
1999-12-14,9000
1999-12-15,9000
1999-12-16,9000
1999-12-17,9000
1999-12-21,9000
1999-12-22,9000
1999-12-23,9000
1999-12-24,9000
1999-12-27,9000
1999-12-28,9000
1999-12-29,9000
1999-12-30,9000
2000-01-04,9000
2000-01-05,9000
2000-01-06,9000
2000-01-07,9000
2000-01-10,9000
2000-01-11,9000
2000-01-12,9000
2000-01-13,9000
2000-01-14,9000
2000-01-17,9000
2000-01-18,9000
2000-01-19,9000
2000-01-20,9000
2000-01-21,9000
2000-01-24,9000
2000-01-25,9000
2000-01-26,9000
2000-01-27,9000
2000-01-28,9000
